index,DangerLevel
301,2
240,3
98,2
542,1
359,1
57,3
206,3
241,3
172,1
534,1
323,2
455,2
360,1
215,2
175,1
379,2
358,1
408,2
75,2
275,2
399,2
233,1
253,2
193,2
526,2
167,1
463,2
52,2
428,2
277,2
140,2
213,2
227,2
8,3
505,2
365,2
133,3
185,3
238,3
439,2
221,2
355,1
536,1
520,2
434,3
276,2
53,2
309,3
406,2
36,2
117,3
303,2
337,2
321,2
299,3
269,3
224,2
223,2
482,3
353,1
437,2
475,3
318,3
105,3
239,3
440,2
150,2
83,2
493,3
197,2
413,2
330,1
97,2
152,2
237,3
125,2
79,2
61,2
85,2
101,2
513,2
481,3
149,1
219,3
398,2
532,1
324,2
490,2
502,3
0,1
222,2
485,2
340,2
258,2
495,3
181,1
368,3
347,1
315,3
113,3
251,2
313,3
20,3
332,2
286,3
92,2
2,3
405,2
71,2
369,3
429,2
261,2
419,3
380,2
289,3
267,2
383,3
102,2
151,2
423,3
64,2
525,2
108,4
236,2
427,2
134,3
382,3
293,3
141,3
62,2
35,2
147,1
32,2
418,2
174,1
397,2
235,2
483,3
65,2
166,1
91,2
171,1
322,2
51,2
319,3
211,2
70,2
230,2
464,2
325,2
364,1
480,3
93,2
38,3
205,3
516,2
99,2
111,3
95,2
528,1
436,2
74,2
122,2
76,2
169,1
15,2
37,3
470,2
412,2
210,2
41,2
229,2
444,2
68,2
77,2
466,2
298,3
194,2
448,2
430,2
56,3
512,2
187,3
232,1
366,3
119,3
510,2
387,3
476,3
467,2
473,3
17,2
329,1
357,1
22,4
307,2
409,2
411,2
317,3
308,3
509,2
178,1
529,1
265,2
494,3
28,2
208,2
243,3
136,3
344,2
300,3
132,3
394,2
370,2
45,2
283,2
110,3
295,3
425,3
335,2
249,2
228,2
24,2
367,3
40,2
69,2
55,3
262,2
27,2
279,2
454,2
177,1
342,2
537,1
30,2
521,2
410,2
281,2
363,1
73,2
34,2
384,3
327,2
338,2
296,3
486,2
191,3
545,1
137,3
348,1
375,3
189,2
445,2
392,2
81,2
326,2
148,1
507,3
501,3
459,2
496,3
504,2
391,2
146,1
541,1
29,2
255,2
104,3
86,2
333,2
306,2
328,1
511,2
66,2
180,1
33,2
540,1
453,2
468,2
217,2
407,2
266,2
198,2
538,1
310,3
160,2
292,3
435,2
373,3
272,2
484,2
388,3
458,2
44,2
402,3
489,2
10,2
138,3
305,2
135,3
212,2
220,3
254,2
339,2
18,2
216,2
43,2
297,3
441,2
13,2
145,2
144,2
498,3
264,2
446,2
518,2
354,1
162,2
469,2
273,2
422,3
449,2
250,2
268,2
100,2
385,3
442,2
112,3
168,1
116,3
280,2
278,2
16,2
173,1
88,3
514,2
218,2
143,3
352,1
23,3
4,3
80,2
182,1
472,4
460,2
488,2
201,3
26,2
457,2
128,3
82,2
284,2
302,2
157,2
257,2
121,2
497,3
90,2
356,1
274,2
431,2
336,2
12,2
31,2
